id,employee_feedback
1,"My manager never listens to our concerns during team meetings."
2,"Work from home flexibility has improved my productivity greatly."
3,"I feel underpaid compared to industry standards for my role."
4,"There are no clear growth opportunities or promotion paths here."
5,"The team culture is toxic and full of favoritism."
6,"My manager is very supportive and always helps us grow."
7,"Work-life balance is excellent, I never have to work weekends."
8,"Salary review process is completely opaque and unfair."
9,"I got promoted last year and feel valued by the company."
10,"Office environment is very positive and collaborative."
11,"Overworked and underpaid, this is not sustainable long term."
12,"Leadership communicates well and keeps us informed always."
13,"No training programs available for skill development here."
14,"Flexible hours make it easy to manage personal commitments."
15,"Compensation package is competitive and bonuses are fair."
16,"My manager micromanages everything and kills creativity."
17,"Company culture promotes diversity and inclusion well."
18,"Work pressure is too high with unrealistic deadlines always."
19,"Growth opportunities are abundant if you work hard here."
20,"Team events and culture initiatives make work enjoyable."
21,"Mental health support from the company is non-existent."
22,"Senior leadership is approachable and values our feedback."
